,number,name
602,CULANTH310, Conflict Analysis In Africa
603,CULANTH323, Fund. Of Global Mental Health
604,CULANTH327, Pilgrimage
605,CULANTH332, Race In Durham
606,CULANTH336, Hollywood And Africa
607,CULANTH346, Memory Bandits
608,CULANTH397, Language In Immigrant America
609,CULANTH403, Politics Of Memory
610,CULANTH415, Interethnic Intimacies
611,CULANTH422," Myth, Ritual, Symbol"
612,CULANTH424, Medical Anthropology
613,CULANTH439, Queer China
614,CULANTH440, Games And Culture
615,CULANTH481, Living/Dying/Healing In Russia
616,CULANTH498, Senior Distinction Seminar
617,CULANTH539, Queer China
618,CULANTH562, African Cities
619,CULANTH605, East Asian Cultural St
620,CULANTH611, Global Mental Health
621,CULANTH641, Citizen/Subject:Neoliberal Age
622,CULANTH715, Nationalism
623,CULANTH716, Capitalism
624,CULANTH727, Dissertation Writers' Workshop
625,CULANTH730, Studies In Ethnomusicol(Top)
626,CULANTH746, Critical Genealogies
627,CULANTH747, Theorizing Environment
628,CULANTH791, Special Readings
629,CULANTH793, Individual Research
630,CULANTH801, Theories Cultural Anthro
631,CULANTH804, Grant Writing
632,CULANTH890, Advanced Selected Topics
633,CVS301, Research In Cvs
634,DANCE110, Elementary Modern Dance
635,DANCE120, Beginning Ballet
636,DANCE122, Intermediate Ballet
637,DANCE130, African Dance Tech I
638,DANCE131, Capoeira: Dance/Martial Art
639,DANCE140, Jazz Dance I
640,DANCE142, Hip Hop I
641,DANCE210, Intermediate Modern Dance
642,DANCE220, Advanced Intermediate Ballet
643,DANCE230, African Dance Tech Ii
644,DANCE240, Jazz Dance Ii
645,DANCE280, Individ Dan Prog: Sp Top
646,DANCE290, Special Topics Lecture
647,DANCE306, Dance For The Camera
648,DANCE310, Advanced Modern Dance
649,DANCE320, Advanced Ballet
650,DANCE321, Pointe And Variations
651,DANCE379, Performing Arts
652,DANCE410, Intensive Modern Dance
653,DANCE412, Repertory: Modern
654,DANCE420, Intensive Ballet
655,DANCE422, Repertory: Ballet
656,DANCE432, Repertory: African Dance
657,DANCE487, Cap Sem: Res Methods In Dance
658,DECISION502, Summer Mathematics Review
659,DECISION610, Probability & Statistics
660,DECISION611, Decision Models
661,DECISION612, Statistical Models Global Exec
662,DECISION613, Strategic Modeling
663,DECISION616, Business Computer Applications
664,DECISION618, Data Analytics For Business
665,DECISION898, Special Topics
666,DECISION899, Independent Study (Top)
667,DECSCI101, Fndmntls Of Decision Science
668,DERMATOL220, Intro To Dermatology
669,DERMATOL401, Dermatology Inpatient Consults
670,DERMATOL450, Clinical Dermatology
671,DMNISTRY900, Spiritual Formation
672,DMNISTRY901, Intro To Christian Leadership
673,DMNISTRY904, Communication & Change
674,DOCST89, First Year Seminar
675,DOCST101, Traditions In Doc Studies
676,DOCST105, Doc Exper: A Video Appr
677,DOCST107, History Of Documentary Film
678,DOCST110, Introduction To Oral History
679,DOCST115, Intro To B&W Photography
680,DOCST119, Intro To Digital Photography
681,DOCST135, Intro To Audio Documentary
682,DOCST206, Medicine And Documentary Photo
683,DOCST209, Digital Documentary Photo
684,DOCST227, Sociology Thru Photography
685,DOCST236, Color Photography
686,DOCST242, Dance For The Camera
687,DOCST250, The Photobook
688,DOCST264, Intro To Film Studies
689,DOCST268, Religion And Film
690,DOCST270, Contemporary Documentary Film
691,DOCST271, Public Policy Video
692,DOCST272, Documentary And Policy
693,DOCST278,Fiction
694,DOCST279, Documentary Poetry
695,DOCST288, Editing For Film And Video
696,DOCST290, Special Topics In Doc Studies
697,DOCST327, Pilgrimage
698,DOCST341, Politics Of Food
699,DOCST344, Our Culinary Cultures
700,DOCST350, Documenting Black Experiences
701,DOCST354, Web Design And Narrative
702,DOCST356, Magazine Journalism
703,DOCST357, 16Mm Film Production
704,DOCST365, The Documentary Turn
705,DOCST369, Advanced Multimedia Production
706,DOCST480, Capstone Seminar
707,DOCST620,Makers
708,DOCST735, Intro To Audio Documentary
709,DOCST736, Color Photography
710,DOCST765, The Documentary Turn
711,ECE110, Fund Of Elec And Comp Engr
712,ECE230, Microelect Devices & Circuits
713,ECE250, Computer Architecture
714,ECE270, Electromagnet Fields
715,ECE280, Intro To Signals And Systems
716,ECE330, Fund Microelectronic Devices
717,ECE331, Fund. Of Microelect. Circuits
718,ECE340, Optics And Photonics
719,ECE350, Digital Systems
720,ECE353, Intro To Operating Systm
721,ECE356, Comp Network Architec
722,ECE381, Fund Of Dig Sig Proc
723,ECE382, Linear Control Systems
724,ECE383, Intro Robotics/Automation
725,ECE391, Undergraduate Research
726,ECE459, Intro To Embedded Systems
727,ECE483, Intro To Dig Comm Sys
728,ECE493, Undergraduate Research
729,ECE495, Special Topics
730,ECE521, Quantum Mechanics
731,ECE526, Semicon Devices For Ic
732,ECE539, Cmos Vlsi Design Methodologies
733,ECE541, Advanced Optics
734,ECE549, Optics & Photonics Seminar Ser
735,ECE550, Fund Comp System & Engineering
736,ECE551," Prog, Data Struc & Alg0 In C++"
737,ECE552, Adv Computer Architec I
738,ECE554,Tolerant/Comp Sys
739,ECE555, Probability Elec And Comp Egrs
